category,series, exercise#,exercise,link,Embed link,duration
חניקות,חניקות מהצד ,3,פנים,https://youtu.be/qdJD5I5Yeso?t=7,https://www.youtube.com/embed/qdJD5I5Yeso?start=7,3
חניקות,חניקות מהצד ,4,Kobi Nage,https://youtu.be/qdJD5I5Yeso?t=11,https://www.youtube.com/embed/qdJD5I5Yeso?start=11,6
חניקות,חניקות מהצד ,5,פתיחה 1 Tai Sabaki,https://youtu.be/6q9bqqt6tNI?t=57,https://www.youtube.com/embed/6q9bqqt6tNI?start=57,7
חניקות,חניקות מהצד ,6,פתיחה 2 מנוף,,,
חניקות,חניקות מהצד ,7,פתיחה 3 (הטלה ממנוף),https://youtu.be/6q9bqqt6tNI?t=1,https://www.youtube.com/embed/6q9bqqt6tNI?start=1,11
חניקות,חניקות מהצד ,8,פתיחה 4 Ouchi gari ,https://youtu.be/6q9bqqt6tNI?t=18,https://www.youtube.com/embed/6q9bqqt6tNI?start=18,8
חניקות,חניקות מהצד ,9,קלאסי,https://youtu.be/LsPAmPpI6AQ,https://www.youtube.com/embed/LsPAmPpI6AQ,18
חניקות,חניקות מהצד ,10,שוטר 1,https://youtu.be/LsPAmPpI6AQ?t=45,https://www.youtube.com/embed/LsPAmPpI6AQ?start=45,9
חניקות,חניקות מהצד ,11,שוטר 2,https://youtu.be/LsPAmPpI6AQ?t=59,https://www.youtube.com/embed/LsPAmPpI6AQ?start=59,8
חניקות,לפני חניקה,1,מכה לגרון,https://youtu.be/5UdaNuVG-14?t=9,https://www.youtube.com/embed/5UdaNuVG-14?start=9,10
חניקות,לפני חניקה,2,מייגרי,https://youtu.be/5UdaNuVG-14?t=27,https://www.youtube.com/embed/5UdaNuVG-14?start=27,6
חניקות,לפני חניקה,3,"חביקה- ימין למטה+ שמאל למטה חביקה מצד שמאל, טאי סבקי והטלה",https://youtu.be/5UdaNuVG-14?t=40,https://www.youtube.com/embed/5UdaNuVG-14?start=40,21
חניקות,לפני חניקה,4,"הטלה- ימין למעלה+ שמאל למטה, כניסת ישבן",https://youtu.be/aAZMwjuZko4?t=17,https://www.youtube.com/embed/aAZMwjuZko4?start=17,9
חניקות,לפני חניקה,5,Tai Sabaki,https://youtu.be/34ZBsoxZjXI?t=24,https://www.youtube.com/embed/34ZBsoxZjXI?start=24,8
חניקות,לפני חניקה,6,קלאסי + יוקו,https://youtu.be/34ZBsoxZjXI?t=51,https://www.youtube.com/embed/34ZBsoxZjXI?start=51,8
חביקות,נלסון,1,Tani-Otoshi,https://youtu.be/Bza5z_xN1Mw?t=13,https://www.youtube.com/embed/Bza5z_xN1Mw?start=13,9
חביקות,נלסון,2,הטלה בסיבוב Sukui Nage,https://youtu.be/Bza5z_xN1Mw?t=6,https://www.youtube.com/embed/Bza5z_xN1Mw?start=6,6
חביקות,נלסון,3,"ירידה לברכיים, וגלגול יריב",https://youtu.be/Bza5z_xN1Mw?t=23,https://www.youtube.com/embed/Bza5z_xN1Mw?start=23,8
חביקות,נלסון,4,לפני נלסון – נפילה למטה,https://youtu.be/Bza5z_xN1Mw?t=37,https://www.youtube.com/embed/Bza5z_xN1Mw?start=37,14
חביקות,חביקה מאחור ,1,נקישה,https://youtu.be/Y4nHmSFkpMo?t=6,https://www.youtube.com/embed/Y4nHmSFkpMo?start=6,2
חביקות,חביקה מאחור ,2,דריכה,https://youtu.be/Y4nHmSFkpMo?t=6,https://www.youtube.com/embed/Y4nHmSFkpMo?start=6,6
חביקות,חביקה מאחור ,3,אשכים,https://youtu.be/Y4nHmSFkpMo?t=6,https://www.youtube.com/embed/Y4nHmSFkpMo?start=6,8
חביקות,חביקה מאחור ,4,נגיחה,https://youtu.be/Y4nHmSFkpMo?t=6,https://www.youtube.com/embed/Y4nHmSFkpMo?start=6,10
חביקות,חביקה מאחור ,5,מרפקים ,https://youtu.be/Y4nHmSFkpMo?t=6,https://www.youtube.com/embed/Y4nHmSFkpMo?start=6,11
חביקות,חביקה מאחור ,6,הטלה בסיבוב Sukui Nage,https://youtu.be/Y4nHmSFkpMo?t=33,https://www.youtube.com/embed/Y4nHmSFkpMo?start=33,9
חביקות,חביקה מאחור ,7,Tani-Otoshi,https://youtu.be/Y4nHmSFkpMo?t=45,https://www.youtube.com/embed/Y4nHmSFkpMo?start=45,8
חביקות,חביקה מאחור ,8,הפלה/ משיכת רגל יריב,https://youtu.be/f__7zC1V32Y?t=5,https://www.youtube.com/embed/f__7zC1V32Y?start=5,16
חביקות,חביקה מאחור ,9,קלאסי,https://youtu.be/f__7zC1V32Y?t=48,https://www.youtube.com/embed/f__7zC1V32Y?start=48,14
חביקות,חביקה מאחור ,10,גלגול,https://youtu.be/f__7zC1V32Y?t=74,https://www.youtube.com/embed/f__7zC1V32Y?start=74,10
חביקות,חביקה מאחור ,11,שוטר,https://youtu.be/uTBg1J2-ANg?t=3,https://www.youtube.com/embed/uTBg1J2-ANg?start=3,11
חביקות,חביקה מלפנים,1,ברך לאשכים,https://youtu.be/ZYYsMpu4xvQ?t=7,https://www.youtube.com/embed/ZYYsMpu4xvQ?start=7,6
חביקות,חביקה מלפנים,2,אגרופים לכליות,https://youtu.be/ZYYsMpu4xvQ?t=7,https://www.youtube.com/embed/ZYYsMpu4xvQ?start=7,8
חביקות,חביקה מלפנים,3,נשיכה,https://youtu.be/ZYYsMpu4xvQ?t=7,https://www.youtube.com/embed/ZYYsMpu4xvQ?start=7,11
חביקות,חביקה מלפנים,4,נגיחה,https://youtu.be/ZYYsMpu4xvQ?t=7,https://www.youtube.com/embed/ZYYsMpu4xvQ?start=7,11
חביקות,חביקה מלפנים,5,מכה לאוזניים,https://youtu.be/ZYYsMpu4xvQ?t=11,https://www.youtube.com/embed/ZYYsMpu4xvQ?start=11,4
חביקות,חביקה מלפנים,6,שבירת מפרקת,https://youtu.be/ZYYsMpu4xvQ?t=25,https://www.youtube.com/embed/ZYYsMpu4xvQ?start=25,7
חביקות,חביקה מלפנים,7,Ouchi gari,https://youtu.be/ZYYsMpu4xvQ?t=55,https://www.youtube.com/embed/ZYYsMpu4xvQ?start=55,8
חביקות,חביקה מלפנים,8,גליוטינה + גלגול,https://youtu.be/I4j3eq7F5MY?t=1,https://www.youtube.com/embed/I4j3eq7F5MY?start=1,23
חביקות,חביקה מלפנים,9,הוקים,https://youtu.be/I4j3eq7F5MY?t=33,https://www.youtube.com/embed/I4j3eq7F5MY?start=33,14
חביקות,תפיסות ראש מהצד,1,לקיחת יד מאחורי הגב,https://youtu.be/s3AFt1hX3yY?t=7,https://www.youtube.com/embed/s3AFt1hX3yY?start=7,11
חביקות,תפיסות ראש מהצד,2,Tani-Otoshi,https://youtu.be/s3AFt1hX3yY?t=20,https://www.youtube.com/embed/s3AFt1hX3yY?start=20,12
חביקות,תפיסות ראש מהצד,3,לקיחת יד והפלה קדימה + שבירות,https://youtu.be/s3AFt1hX3yY?t=35,https://www.youtube.com/embed/s3AFt1hX3yY?start=35,18
חביקות,תפיסות ראש מהצד,4,גלגול בין הרגלים בסיבוב,https://youtu.be/s3AFt1hX3yY?t=56,https://www.youtube.com/embed/s3AFt1hX3yY?start=56,7
חביקות,תפיסות ראש מהצד,5,קלאסי,,,
סדרות,סידרה ראשונה - שבירות,1, juji-gatame,https://youtu.be/A7zpd6RHoys?t=3,https://www.youtube.com/embed/A7zpd6RHoys?start=3,9
סדרות,סידרה ראשונה - שבירות,2,Ude-garami,https://youtu.be/A7zpd6RHoys?t=16,https://www.youtube.com/embed/A7zpd6RHoys?start=16,12
סדרות,סידרה ראשונה - שבירות,3,המשך אופנוע (מרפק) (Ude-hishigi-ude-gatame),https://youtu.be/A7zpd6RHoys?t=28,https://www.youtube.com/embed/A7zpd6RHoys?start=28,20
סדרות,סידרה שנייה - שבירות,1, juji-gatame,https://youtu.be/76I7HbCnE30?t=8,https://www.youtube.com/embed/76I7HbCnE30?start=8,15
סדרות,סידרה שנייה - שבירות,2,מרפק ממאונט (נפילה לימין),https://youtu.be/76I7HbCnE30?t=26,https://www.youtube.com/embed/76I7HbCnE30?start=26,32
סדרות,סידרה שנייה - שבירות,3,כתף ממאונט,https://youtu.be/76I7HbCnE30?t=59,https://www.youtube.com/embed/76I7HbCnE30?start=59,14
סדרות,סידרה שלישית - חניקות על הקרקע,1,חניקה יד ימין - שבירת יד שמאל,https://youtu.be/3WNu6Fg8W38?t=3,https://www.youtube.com/embed/3WNu6Fg8W38?start=3,26
סדרות,סידרה שלישית - חניקות על הקרקע,2,חניקה שתי ידיים - שבירת יד ימין,https://youtu.be/3WNu6Fg8W38?t=45,https://www.youtube.com/embed/3WNu6Fg8W38?start=45,28
סדרות,סידרה שלישית - חניקות על הקרקע,3,חניקה יד ימין - משולש על היד,https://youtu.be/3WNu6Fg8W38?t=75,https://www.youtube.com/embed/3WNu6Fg8W38?start=75,18
סדרות,סידרה שלישית - חניקות על הקרקע,4,שבירת שתי ידים {שכיבת שמיכה},https://youtu.be/3WNu6Fg8W38?t=104,https://www.youtube.com/embed/3WNu6Fg8W38?start=104,12
סדרות,סדרה רביעית - חמור,1,"רגל שמאל קדימה, שבירת יד ",https://youtu.be/nanNjWEpwTk?t=19,https://www.youtube.com/embed/nanNjWEpwTk?start=19,22
סדרות,סדרה רביעית - חמור,2,"רגל ימין קדימה, שבירת יד",https://youtu.be/nanNjWEpwTk?t=45,https://www.youtube.com/embed/nanNjWEpwTk?start=45,12
סדרות,סדרה רביעית - חמור,3,תפיסת שוטר,https://youtu.be/nanNjWEpwTk?t=64,https://www.youtube.com/embed/nanNjWEpwTk?start=64,17
סדרות,סדרה רביעית - חמור,4,"יד ימין, גלגול ימין, juji-gatame",https://youtu.be/nanNjWEpwTk?t=92,https://www.youtube.com/embed/nanNjWEpwTk?start=92,15
סדרות,סדרה חמישית - ריתוקים ,1,ריתוק 1-  On-Kesa-Gatame ,https://youtu.be/LT-pVeAALRY?t=21,https://www.youtube.com/embed/LT-pVeAALRY?start=21,9
סדרות,סדרה חמישית - ריתוקים ,2,On-Kesa-Gatame – שבירה 1,https://youtu.be/LT-pVeAALRY?t=32,https://www.youtube.com/embed/LT-pVeAALRY?start=32,4
